"Indicator type","Indicator","Description"
"IPv4","149.28.247.34","CC=US ASN=AS20473 AS-CHOOPA"
"IPv4","152.89.247.87","CC=DE ASN=AS30823 combahton GmbH"
"IPv4","155.138.159.45","CC=CA ASN=AS20473 AS-CHOOPA"
"hostname","www.capmarketreport.com",""
"URL","https://zvc.vc",""
"IPv4","172.86.121.130","CC=US ASN=AS29802 HVC-AS"
"FileHash-MD5","087407551649376d90d1743bac75aac8",""
"FileHash-MD5","0b4340ed812dc82ce636c00fa5c9bef2",""
"FileHash-MD5","1e3df8ee796fc8a13731c6de1aed0818",""
"FileHash-MD5","21e9ddd5753363c9a1f36240f989d3a9",""
"FileHash-MD5","4c0fb06320d1b7ecf44ffd0442fc10ed",""
"FileHash-MD5","61a227bf4c5c1514f5cbd2f37d98ef5b",""
"FileHash-MD5","931d0969654af3f77fc1dab9e2bd66b1",""
"FileHash-MD5","a17e9fc78706431ffc8b3085380fe29f",""
"FileHash-MD5","d3503e87df528ce3b07ca6d94d1ba9fc",""
"FileHash-MD5","d8f6290517c114e73e03ab30165098f6",""
"FileHash-MD5","ef3179d498793bf4234f708d3be28633",""
"FileHash-MD5","f766f97eb213d81bf15c02d4681c50a4",""
"FileHash-SHA1","37002564bae2fcffea363f6ec7aeac151dc72f6b","SHA1 of a17e9fc78706431ffc8b3085380fe29f"
"FileHash-SHA1","51c97ebe601ef079b16bcd87af827b0be5283d96","SHA1 of 0b4340ed812dc82ce636c00fa5c9bef2"
"FileHash-SHA1","71627bf5d3fa0c09e0631b2172ee0c6499168ed9","SHA1 of 21e9ddd5753363c9a1f36240f989d3a9"
"FileHash-SHA1","7cf53577520861a1833ae99489c307f98da01b4b","SHA1 of 931d0969654af3f77fc1dab9e2bd66b1"
"FileHash-SHA1","dd399ae46303343f9f0da189aee11c67bd868222","SHA1 of ef3179d498793bf4234f708d3be28633"
"FileHash-SHA256","5f4f006bfb9136c304e0aabf75575360120d022567180ce6b9c1835e209c541e","SHA256 of a17e9fc78706431ffc8b3085380fe29f"
"FileHash-SHA256","a3f087c83453cde2bc845122c05ebeb60e8891e395b45823c192869ec1b72ea6","SHA256 of 21e9ddd5753363c9a1f36240f989d3a9"
"FileHash-SHA256","b53f3c0cd32d7f20849850768da6431e5f876b7bfa61db0aa0700b02873393fa","SHA256 of ef3179d498793bf4234f708d3be28633"
"FileHash-SHA256","da9f0e7dc6c52044fa29bea5337b4792b8b873373ba99ad816d5c9f5f275f03f",""
"FileHash-SHA256","dba3137811c686fd35e418d76184070e031f207002649da95385dfd05a8bb895","SHA256 of 0b4340ed812dc82ce636c00fa5c9bef2"
"FileHash-SHA256","f14c5bad5219b1ed5166eb02f5ff08a890a181cef2af565f3fe7bcea9c870e22","SHA256 of 931d0969654af3f77fc1dab9e2bd66b1"
"IPv4","104.168.174.80","CC=US ASN=AS54290 HOSTWINDS"
"IPv4","104.168.249.50","CC=US ASN=AS54290 HOSTWINDS"
"domain","abf-cap.co",""
"domain","angelbridge.capital",""
"domain","anobaka.jp",""
"domain","bankofamerica.nyc",""
"domain","bankofamerica.tel",""
"domain","bankofamerica.us.org",""
"domain","beyondnextventures.co",""
"domain","beyondnextventures.com",""
"domain","mizuhogroup.us",""
"domain","mufg.tokyo",""
"domain","offerings.cloud",""
"domain","perseus.bond",""
"domain","smbc-vc.com",""
"domain","smbc.ltd",""
"domain","smbcgroup.us",""
"domain","tptf.co",""
"domain","tptf.ltd",""
"domain","tptf.us",""
"hostname","avid.lno-prima.lol",""
"hostname","careers.mizuhogroup.us",""
"hostname","cloud.beyondnextventures.co",""
"hostname","cloud.mufg.tokyo",""
"hostname","docs.azure-protection.cloud",""
"hostname","it.zvc.capital",""
"hostname","ms.msteam.biz",""
"hostname","vote.anobaka.info",""
"hostname","www.abf-cap.com",""
"hostname","www.angelbridge.jp",""
"hostname","www.mizuhogroup.com",""
"hostname","www.onlinecloud.cloud",""
